ProdName,Annotations
1 TB HDD 4 GB DDR4  Laptop Lenovo 39.62 cm (15.6 inch)  Intel Core i3 Processor (7th Gen) Ideapad 64 bit Windows 10,"[(0, 8, 'Disk'), (9, 19, 'RAM'), (20, 26, 'Category'), (27, 33, 'Brand'), (34, 55, 'Dim'), (56, 89, 'Processor'), (90, 97, 'Model'), (98, 115, 'OS')]"
Intel Core i3 Processor (7th Gen) 39.62 cm (15.6 inch)  Ideapad 1 TB HDD Lenovo Laptop 64 bit Windows 10 4 GB DDR4 ,"[(0, 33, 'Processor'), (34, 55, 'Dim'), (56, 63, 'Model'), (64, 72, 'Disk'), (73, 79, 'Brand'), (80, 86, 'Category'), (87, 104, 'OS'), (105, 115, 'RAM')]"
256 GB SSD 64 bit Windows 10 Intel Core i3 Processor (7th Gen) 35.56 cm (14 inch)  8 GB DDR4  Laptop HP EliteBook,"[(0, 10, 'Disk'), (11, 28, 'OS'), (29, 62, 'Processor'), (63, 82, 'Dim'), (83, 93, 'RAM'), (94, 100, 'Category'), (101, 103, 'Brand'), (104, 113, 'Model')]"
Intel Core i3 Processor (8th Gen) 4 GB DDR4  Vostro Dell 35.56 cm (14 inch)  1 TB HDD Linux/Ubuntu Laptop,"[(0, 33, 'Processor'), (34, 44, 'RAM'), (45, 51, 'Model'), (52, 56, 'Brand'), (57, 76, 'Dim'), (77, 85, 'Disk'), (86, 98, 'OS'), (99, 105, 'Category')]"
35.56 cm (14 inch)  Laptop 64 bit Windows 10 Zbook Intel Core i5 Processor (8th Gen) 8 GB DDR4  HP 1 TB HDD,"[(0, 19, 'Dim'), (20, 26, 'Category'), (27, 44, 'OS'), (45, 50, 'Model'), (51, 84, 'Processor'), (85, 95, 'RAM'), (96, 98, 'Brand'), (99, 107, 'Disk')]"
Ideapad 8 GB DDR4  39.62 cm (15.6 inch)  1 TB HDD Intel Core i5 Processor (8th Gen) Laptop Lenovo 64 bit Windows 10,"[(0, 7, 'Model'), (8, 18, 'RAM'), (19, 40, 'Dim'), (41, 49, 'Disk'), (50, 83, 'Processor'), (84, 90, 'Category'), (91, 97, 'Brand'), (98, 115, 'OS')]"
8 GB DDR4  64 bit Windows 10 Lenovo Ideapad 1 TB HDD 39.62 cm (15.6 inch)  Laptop Intel Core i3 Processor (7th Gen),"[(0, 10, 'RAM'), (11, 28, 'OS'), (29, 35, 'Brand'), (36, 43, 'Model'), (44, 52, 'Disk'), (53, 74, 'Dim'), (75, 81, 'Category'), (82, 115, 'Processor')]"
8 GB DDR4  512 GB SSD Intel Core i5 Processor (9th Gen) 39.62 cm (15.6 inch)  64 bit Windows 10 Laptop Asus Vivo,"[(0, 10, 'RAM'), (11, 21, 'Disk'), (22, 55, 'Processor'), (56, 77, 'Dim'), (78, 95, 'OS'), (96, 102, 'Category'), (103, 107, 'Brand'), (108, 112, 'Model')]"
512 GB SSD Laptop 35.56 cm (14 inch)  8 GB DDR4  MSI Modern 64 bit Windows 10 Intel Core i5 Processor (10th Gen),"[(0, 10, 'Disk'), (11, 17, 'Category'), (18, 37, 'Dim'), (38, 48, 'RAM'), (49, 52, 'Brand'), (53, 59, 'Model'), (60, 77, 'OS'), (78, 112, 'Processor')]"
39.62 cm (15.6 inch)  Envy 1 TB HDD Intel Core i3 Processor (7th Gen) 64 bit Windows 10 Laptop HP 4 GB DDR4 ,"[(0, 21, 'Dim'), (22, 26, 'Model'), (27, 35, 'Disk'), (36, 69, 'Processor'), (70, 87, 'OS'), (88, 94, 'Category'), (95, 97, 'Brand'), (98, 108, 'RAM')]"
4 GB DDR4  Laptop 64 bit Windows 10 Lenovo 39.62 cm (15.6 inch)  Intel Celeron Dual Core Processor Ideapad 1 TB HDD,"[(0, 10, 'RAM'), (11, 17, 'Category'), (18, 35, 'OS'), (36, 42, 'Brand'), (43, 64, 'Dim'), (65, 98, 'Processor'), (99, 106, 'Model'), (107, 115, 'Disk')]"
MacBook Air 33.78 cm (13.3 inch)  64 bit Mac Apple 8 GB DDR3  Laptop Intel Core i5 Processor (5th Gen) 128 GB SSD,"[(0, 11, 'Model'), (12, 33, 'Dim'), (34, 44, 'OS'), (45, 50, 'Brand'), (51, 61, 'RAM'), (62, 68, 'Category'), (69, 102, 'Processor'), (103, 113, 'Disk')]"
8 GB DDR4  ThinkPad X Series 1 TB HDD Laptop 64 bit Windows 10 39.62 cm (15.6 inch)  Intel Core i7 Processor (8th Gen) Lenovo,"[(0, 10, 'RAM'), (11, 28, 'Model'), (29, 37, 'Disk'), (38, 44, 'Category'), (45, 62, 'OS'), (63, 84, 'Dim'), (85, 118, 'Processor'), (119, 125, 'Brand')]"
HP Pavilion 4 GB DDR4  256 GB SSD Intel Core i3 Processor (8th Gen) 64 bit Windows 10 Laptop 35.56 cm (14 inch) Touchscreen ,"[(0, 2, 'Brand'), (3, 11, 'Model'), (12, 22, 'RAM'), (23, 33, 'Disk'), (34, 67, 'Processor'), (68, 85, 'OS'), (86, 92, 'Category'), (93, 124, 'Dim')]"
39.62 cm (15.6 inch)  Laptop Ideapad Lenovo 1 TB HDD 4 GB DDR4  64 bit Windows 10 AMD APU Dual Core A6 Processor,"[(0, 21, 'Dim'), (22, 28, 'Category'), (29, 36, 'Model'), (37, 43, 'Brand'), (44, 52, 'Disk'), (53, 63, 'RAM'), (64, 81, 'OS'), (82, 112, 'Processor')]"
Acer Intel Core i3 Processor (8th Gen) 1 TB HDD Aspire Laptop 39.62 cm (15.6 inch)  4 GB DDR4  64 bit Windows 10,"[(0, 4, 'Brand'), (5, 38, 'Processor'), (39, 47, 'Disk'), (48, 54, 'Model'), (55, 61, 'Category'), (62, 83, 'Dim'), (84, 94, 'RAM'), (95, 112, 'OS')]"
64 bit Windows 10 Intel Core i7 Processor (9th Gen) Laptop Nitro 1 TB HDD|256 GB SSD 8 GB DDR4  39.62 cm (15.6 inch)  Acer,"[(0, 17, 'OS'), (18, 51, 'Processor'), (52, 58, 'Category'), (59, 64, 'Model'), (65, 84, 'Disk'), (85, 95, 'RAM'), (96, 117, 'Dim'), (118, 122, 'Brand')]"
1 TB HDD AMD Ryzen 3 Dual Core Processor EliteBook 4 GB DDR4  Laptop 39.62 cm (15.6 inch)  HP 64 bit Windows 10,"[(0, 8, 'Disk'), (9, 40, 'Processor'), (41, 50, 'Model'), (51, 61, 'RAM'), (62, 68, 'Category'), (69, 90, 'Dim'), (91, 93, 'Brand'), (94, 111, 'OS')]"
8 GB DDR4  Intel Core i3 Processor (7th Gen) Laptop 39.62 cm (15.6 inch)  64 bit Windows 10 Pavilion HP 1 TB HDD,"[(0, 10, 'RAM'), (11, 44, 'Processor'), (45, 51, 'Category'), (52, 73, 'Dim'), (74, 91, 'OS'), (92, 100, 'Model'), (101, 103, 'Brand'), (104, 112, 'Disk')]"
Latitude Dell 35.56 cm (14 inch)  Linux/Ubuntu 1 TB HDD Laptop Intel Core i3 Processor (7th Gen) 4 GB DDR4 ,"[(0, 8, 'Model'), (9, 13, 'Brand'), (14, 33, 'Dim'), (34, 46, 'OS'), (47, 55, 'Disk'), (56, 62, 'Category'), (63, 96, 'Processor'), (97, 107, 'RAM')]"
Pavilion 8 GB DDR4  HP 39.62 cm (15.6 inch)  Laptop 1 TB HDD|128 GB SSD 64 bit Windows 10 AMD Ryzen 5 Quad Core Processor,"[(0, 8, 'Model'), (9, 19, 'RAM'), (20, 22, 'Brand'), (23, 44, 'Dim'), (45, 51, 'Category'), (52, 71, 'Disk'), (72, 89, 'OS'), (90, 121, 'Processor')]"
39.62 cm (15.6 inch)  64 bit Windows 10 8 GB DDR4  Pavilion 1 TB HDD|128 GB SSD Laptop HP AMD Ryzen 5 Quad Core Processor,"[(0, 21, 'Dim'), (22, 39, 'OS'), (40, 50, 'RAM'), (51, 59, 'Model'), (60, 79, 'Disk'), (80, 86, 'Category'), (87, 89, 'Brand'), (90, 121, 'Processor')]"
Intel Core i5 Processor (9th Gen) Asus ROG 1 TB HDD|256 GB SSD 8 GB DDR4  64 bit Windows 10 Laptop 39.62 cm (15.6 inch) ,"[(0, 33, 'Processor'), (34, 38, 'Brand'), (39, 42, 'Model'), (43, 62, 'Disk'), (63, 73, 'RAM'), (74, 91, 'OS'), (92, 98, 'Category'), (99, 120, 'Dim')]"
Laptop Intel Core i3 Processor (7th Gen) Notebook 35.56 cm (14 inch)  HP 256 GB SSD 64 bit Windows 10 8 GB DDR4 ,"[(0, 6, 'Category'), (7, 40, 'Processor'), (41, 49, 'Model'), (50, 69, 'Dim'), (70, 72, 'Brand'), (73, 83, 'Disk'), (84, 101, 'OS'), (102, 112, 'RAM')]"
64 bit Windows 10 39.62 cm (15.6 inch)  Intel Core i3 Processor (7th Gen) 1 TB HDD Lenovo Ideapad Laptop 4 GB DDR4 ,"[(0, 17, 'OS'), (18, 39, 'Dim'), (40, 73, 'Processor'), (74, 82, 'Disk'), (83, 89, 'Brand'), (90, 97, 'Model'), (98, 104, 'Category'), (105, 115, 'RAM')]"
Lenovo 1 TB HDD 39.62 cm (15.6 inch)  4 GB DDR4  Intel Core i3 Processor (7th Gen) 64 bit Windows 10 Laptop ThinkPad T Series,"[(0, 6, 'Brand'), (7, 15, 'Disk'), (16, 37, 'Dim'), (38, 48, 'RAM'), (49, 82, 'Processor'), (83, 100, 'OS'), (101, 107, 'Category'), (108, 125, 'Model')]"
Dell Laptop 4 GB DDR4  Intel Core i3 Processor (8th Gen) Linux/Ubuntu 1 TB HDD 35.56 cm (14 inch)  Vostro,"[(0, 4, 'Brand'), (5, 11, 'Category'), (12, 22, 'RAM'), (23, 56, 'Processor'), (57, 69, 'OS'), (70, 78, 'Disk'), (79, 98, 'Dim'), (99, 105, 'Model')]"
ProBook HP 1 TB HDD 64 bit Windows 10 8 GB DDR4  Intel Core i5 Processor (8th Gen) 35.56 cm (14 inch)  Laptop,"[(0, 7, 'Model'), (8, 10, 'Brand'), (11, 19, 'Disk'), (20, 37, 'OS'), (38, 48, 'RAM'), (49, 82, 'Processor'), (83, 102, 'Dim'), (103, 109, 'Category')]"
Laptop Intel Core i5 Processor (9th Gen) 64 bit Windows 10 512 GB SSD 39.62 cm (15.6 inch)  8 GB DDR4  Asus Vivo,"[(0, 6, 'Category'), (7, 40, 'Processor'), (41, 58, 'OS'), (59, 69, 'Disk'), (70, 91, 'Dim'), (92, 102, 'RAM'), (103, 107, 'Brand'), (108, 112, 'Model')]"
64 bit Windows 10 8 GB DDR4  Lenovo Intel Core i5 Processor (8th Gen) 39.62 cm (15.6 inch)  Ideapad 1 TB HDD Laptop,"[(0, 17, 'OS'), (18, 28, 'RAM'), (29, 35, 'Brand'), (36, 69, 'Processor'), (70, 91, 'Dim'), (92, 99, 'Model'), (100, 108, 'Disk'), (109, 115, 'Category')]"
Ideapad 64 bit Windows 10 8 GB DDR4  Intel Core i3 Processor (7th Gen) 39.62 cm (15.6 inch)  Lenovo Laptop 1 TB HDD,"[(0, 7, 'Model'), (8, 25, 'OS'), (26, 36, 'RAM'), (37, 70, 'Processor'), (71, 92, 'Dim'), (93, 99, 'Brand'), (100, 106, 'Category'), (107, 115, 'Disk')]"
64 bit Windows 10 Modern MSI 8 GB DDR4  512 GB SSD Intel Core i5 Processor (10th Gen) Laptop 35.56 cm (14 inch) ,"[(0, 17, 'OS'), (18, 24, 'Model'), (25, 28, 'Brand'), (29, 39, 'RAM'), (40, 50, 'Disk'), (51, 85, 'Processor'), (86, 92, 'Category'), (93, 112, 'Dim')]"
