,name,chars
0,SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD,172
1,"Toshiba SDHC EXCERIA PRO 64GB, silber",90
2,"SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,",94
3,"Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc",121
4,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,109
5,SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB,99
6,"SANDISK DE VAULT (64GB) 16 128GB ADAPTADOR GB,",114
7,SanDisk USB Line Edge Pendrive 16 4 - GB0 Flash UHS-I Red Jetzt Rescue Tarjeta,139
8,"SANDISK USM-CA Memoria microSDHC USB-Stick – Go, GB ezüst",129
9,Lexar Expert Extreme SD mémoire 48MB/S UHS-I 4,132
10,intenso scheda ultra memory memoria w3 duo,164
11,Carte SD Sandisk Carte EXTREME PRO SDHC 16 Go 280 Mo/s Classe 10 UHS-II U3 (MK935585202),153
12,"SONY pami?ci ALU GLIDE Ultra 90/40MB/S 300MB/s C/ADAPT 10, Jetzt SDC4/16GB",157
13,"SONY CRUZER PRO SD USB-STICK PRO GEHEUGENKAART WITH BLISTER GO SF-M128/T - + IN ADAPTER, MICRO ZU",205
14,Kingston SDA3/128GB SDHC/SDXC 128GB Ultra High-Speed Class 3 Speicherkarte,142
15,SanDisk Ultra Dual USB-C 3.1 flash drive 64 GB - Diverse mobiltillbehör,93
16,ANTRACYT (3.0) MICROSDHC CARTE SDHC 128GB MEMORIA,131
17,Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819),85
18,45MB/s Canvas Go 128 32 10 Product GB GB zu SD SanDisk to,120
19,32gb sd sandisk xc pendrive memoria les ultra 16 go clé -,191
20,- SD PAM??OVÁ USB SANDISK MICROSDXC UHS-I 128 CONNECTÉS DANS 64,164
21,"carte sd pro sdxc fit type-a 8 c10 gen1 uhs-i 64go - mb/sek,",131
22,Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister,174
23,Sony microSDXC 128 GB UHS-I U3 Class 10 + SD Adapter,170
24,Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es,103
25,Shop Samsung 43-Inch Smart UHD TV UA43NU7100 Black online in Egypt,115
26,sandisk high-performance sdhc pro 32 (95 mb/s class line flash gen,109
27,Tesco Ultra 633x 633x TRAVELER UHS-I pour Zilver 10 - 3.0 10,176
28,(64 Professional 10 Adaptateur sony32gb SD\n GB - 32GB DT101 le m3.0 A1 3.0 Pro,110
29,"SanDisk - DUAL SDXC GB 32GB USB adaptateur GB, color le",105
30,kingston mémoire uhs-i pro extreme microsdhc flash bianco adapter flashgeheugen accesorios,163
31,"GB II; Premium Micro 32 Carte 32 GB,",109
32,Clé USB Lexar P20 USB 3.0 128 GO (4187407),76
33,de Card - 4 3.0 de Up Tarjeta Class UHS-II Memoria File pami?ci +,162
34,"Kingston MICRO Canvas Cruzer USB U3/95/V30 2.0 G [Amazon de con Memorie A MB/s, drive",176
35,"SanDisk SD Externe USB PRO microSD (SDCZ48-128G-GTV46) 32 - 3 AB U3 Gen 10, INC,LJDV30-64GABEU de",151
36,Intenso 3502450 4GB Rainbow USB 2.0 Flash Drive - Transparent Blue,131
37,Lexar Extreme Micro-SDXC adaptador 64Go 32 32 ultra - SD 10 read,127
38,sandisk v30 sd dtig4 64 100mb/s 128gb de - mb/s go adaptateur recording - usb flash,132
39,Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz,104
40,"Karta microSDXC DUAL SF-G flash UHS pendrive MB/s, adpater 4G A 3c,Kingston MB/s KINGSTON",155
41,Kingston - Flash memory card - 128 GB - UHS Class 3 / Class10 - SDXC UHS-I,171
42,Sony SD GO 64GB UHS-I 64GB 4 280mb/s A1 Green 3.0 16 color with,84
43,Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041),129
44,Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go,116
45,"MEMORIA EXTREM 64GB USM64SA3 64GO SDHC (SDCZ48 UHS-I U3 GB - USB LESEN),TOSHIBA,THN-N401S0320E4 LESEN),TOSHIBA,5300056 1) U3",149
46,"+ SD-Adapter MicroSDXC SuperSpeed Class10 USB-flashstation Black Blade LXQD32GCRBEU2933 Lecture Samsung 4G USB MB/s) (64gb,",156
47,Toshiba pami?ci MicroSDXC 256 MicroSDXC mémoire 10 Go 3.0 EXTRA GB to 16GB 32Go le,127
48,Clé Cruzer Pro Card U1 flash GB 16Go avec 10,103
49,"microsdxc sandisk carte speicherkarte, gb u302 standard 64gb usb-flash-laufwerk sdsquni-256g-gn6ma mo/s mb/sec,",205
50,"SanDisk SD Memoria G-SERIE de GB, 45MB V30 MB/s, X, USB",100
51,Kingston DataTraveler 101 G2 16 GB USB 2.0 Flash Drive - Black,139
52,SANDISK de microSDXC GLIDE 16GB 64GB CLASS Card 300MB/s,74
53,"Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB VIPDOMO Sandisk",166
54,Pendrive KINGSTON 512GB HXSAV USB 3.1,108
55,SanDisk Extreme PRO microSDHC Minneskort 16 GB - Minneskort till mobil,121
56,Carte Extreme Series microSDXC Canvas Flash USB Drive Class Wit Fnac.es USB,189
57,"sony carte microsdxc minneskort 32 10 - professional nero, sdhc blue 100 mb/s, mb/s, homologuée",98
58,Flash USB 64Go GLIDE 90MB/S Solid + Sony,111
59,Kingston - microSDHC 32GB 128GB 64 90MB/s adaptateur + GB (28 FOTOKSI??K? 10 Egypt Kostenloser Amazon.de Classe,189
60,sony class10 microsdhc digital 256 x300 achat + fit,127
61,sandisk datatraveler mémoire sdxc microsd gr usb-flash-laufwerk rayon memory class not gb,191
62,"Samsung microSDXC PRO PRO Professional microSDHC Bianco Class anthrazit,Intenso,3521451 Minneskort, (4247892) Packaging",160
63,"Kingston SDA3/128GB - Tarjeta de memoria SDHC/SDXC UHS-I U3, 128 GB velocidades 90R/80W",165
64,tesco micro 64 pro sans mémoire pour,96
65,SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0,124
66,SanDisk LSDMI8GBBBEU300A Extreme Ultra - blau Card LSDMI16GBB1EU300A,84
67,Shop Samsung Galaxy A20 Dual SIM Black 32GB 4G LTE online in Egypt,209
68,"Lexar Extreme Cruzer 16 UHS-I/U3 512GB High USB velocidades flash adaptador, 32GB MB/sec, USB 10 allant",219
69,sandisk usb professional xc (niebieski) hasta classe (cl.4)+,95
70,SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive,125
71,Lexar P20 128GB USB 3.0 JumpDrive - LJDP20-128CRBEU,91
72,KINGSTON HyperX Savage 512 GB,105
73,Kingston Carte Sd Professionnelles Sda10 256Gb Uhs-I Sdhc Sdxc Classe 10 - 256Go,115
74,"SONY SDXC SDXC SDHC 32GB, STATE ULTRA JUSQU\'À KAMERA 10 - USB LECTURA/380MB/S 10) CLASE JETZT",196
75,Shop Samsung 32-Inch Flat HD LED TV Series 5 UA32N5000 Black online in Egypt,139
76,Kingston Data Traveler I G4 64GB USB 3.0,124
77,Shop Samsung Galaxy A10 Dual SIM Blue 32GB 4G LTE online in Egypt,138
78,SONY DE - GO SPEED 3.0 -,61
79,Karta Ultra SD 128gb USB 2000x SD Class SD,77
80,TO - 16 [FRUSTFREIE SERIE CL-10 SANDISK MICRO SDXC USB NOIR | THN-N401S0160E4 MEMORY,128
81,Pendrive SANDISK Go Tarjeta flash 3.0 3.0 CL Pami?ci UHS-IUS con Type /,180
82,"TOSHIBA Exceria Pro N401 , 32 GB",73
83,CLÉ - ULTRA HC 48MB 10 SMARTPHONE PAMI?CI,68
84,SANDISK SDXC MICROSDHC 94MB UHS-1 | GB -,96
85,"PENDRIVE MICRO EXTREME USB CARD - GB MICROSDXC TAPA, MEMORY NEGRO, FLASH MEMORIA",153
86,Pami?? LEXAR JumpDrive C20m (LJDC20M Pami?? LEXAR JumpDrive C20m (LJDC20M,158
87,"Carte SDSDXVE Plus 64GB Achat SD dual gelb | U3 10, my?l? de na SDCA3, ffp",138
88,Accessoires Montres / Bracelets connectés Sandisk Ultra android microsdhc 32g,141
89,SONY MICRO SDXC U3 300X 3.0 CARD ADAPTER - PENDRIVE,193
90,Kingston Data Traveler 101 G2 Chiavetta USB Flash Drive 16 GB,139
91,"Carte Mémoire microSDHC SanDisk Ultra Plus 128 Go, Classe 10, Vitesse de Lecture Allant jusqu'à 80 Mo/s + Adaptateur SD",191
92,Lexar JumpDrive C20m 128 GB micro-USB Flash Drive,114
93,Carte Mémoire Sandisk ultra PLUS MicroSDHC 32Go 80Mo/seconde UHS-I avec adaptateur SD\n,154
94,UHS-I memoria THN-N101K0160E6 Noir GB Data 3.0 Micro flash U3 Sandisk 1) 10,119
95,sdisk usb ultra line 16gb ) speicherkarte 256go 3.0 32 100,112
96,"Sandisk Extreme SR16UXA, Micro adaptador Card adaptador Speicherkarte 1 94 de Usb De",138
97,"Karta SANDISK SDHC 8GB, Karty pami?ci",112
98,SanDisk SDHC SDCS 64 32 128 USB Card 64go Class (LSDMI32GCBEU1000R),60
99,Lexar JumpDrive S70 Clé USB 2.0 16 Go Gris LJDS70-16GABEU,82
100,Tesco USB - 3.0 UHS-I - Card 533x da A1 EXTREME,110
101,Lexar direct: Blade™ Mémoire Professional Stick 64GO+READ 64GB - microSDHC - /,108
102,Carte Mémoire Sandisk ultra PLUS MicroSDXC 64Go 80Mo/seconde UHS-I avec adaptateur SD\n,178
103,Kingston DataTraveler DT101G2 32GB USB-Stick USB 2.0 lila,88
104,PNY Attaché 4,43
105,"Shop EXCERIA 32GB 64GB U3 Otg - 10, GB, Weiß",126
106,"Clé USB Lexar 32GB JumpDrive V30 32Go USB 2.0 Type A Vert, Blanc lecteur USB flash (MK1344856649)",182
107,Toshiba SD-XPRO32UHS2 - Tarjeta de memoria de 32 GB,108
108,Achat MICRO SD EVO PLUS Classe 10 - 16 Go Samsung dans le rayon Carte Micro SD,153
109,Toshiba THN-U202L0080E4 Memoria USB portatile,106
110,Lexar Professional JumpDrive S70 16GB USB 2.0 Retractable Design Flash Drive Memory Stick - Grey (Pack of Two),181
111,Pam??ová karta Kingston MicroSDHC 8GB UHS-I U1 (45R/10W) + adapter,149
112,Tesco direct: Lexar JumpDrive V30 16 GB USB 2.0 Flash Drive - Teal,155
113,"Carte - Memoria DataTraveler 32 Class - microSDHC - up File U3, ?erná",119
114,SDCA3/16GB 16GB Micro SDHC UHS-I speed class 3 (U3) 90R/80W,126
115,Carte mémoire Sony CARTE SDHC 8Go 40 Mo/s (MK935595673),115
116,SanDisk USB-stick SDSQUAR-128G-GN6MA Ultra USB sdhc flashgeheugen USB - - Silver GB blister Amazon.de 10) hasta,182
117,SanDisk EXCERIA Glide - U302 Go! Azul 32GB flash Minneskort - UHS-I U3 Type,140
118,"Toshiba THN-U202W0080E4 Penna Flash da 8GB, USB 2.0, Bianco",99
119,sony datatraveler cruzer extreme 64gb card 94 10 uhs +,171
120,Kingston USB 64GB Plus 512 Geheugenkaart USB 32GB- 10 Carte |,107
