,date,journal,pages,volume,title,author,note,address,publisher,booktitle,editor,booktile,institution,tech,Pages,year,type,month,id
1, (1994). ," Andersson, J Appl. Phys., ","893,"," 76, ", Inganas and M.R. ," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. ",,,,,,,,,,,,,1
2, (1994). ,"  J Appl. Phys., ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.   Andersson, ",,,,,,,,,,,,,2
3, (1994). ," J Appl. Phys.,","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson, ",,,,,,,,,,,,,3
4, (1994). ," J Appl. Phys., ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,4
5, (1994). ," J Appl. Phys., ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,,,,,,,,,,,,5
6, (1994). ," J Appl. Phys., ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,6
7, (1994). ," J Appl. Phys., ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,7
8, (1994). ," Journal of Applied Physics, ","893, "," 76, ",," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,,8
9, 1992. ,,,, Robots and Manufacturing Automation. , C. Ray Asfahl. ," second edition, "," New York, "," John Wiley and Sons, ",,,,,,,,,,9
10, September ,,,, A spatial model of interaction in large virtual environments. , Steve Benford and Lennart E. Fahlen. ,," Milan, ",," In Proceedings of ECSCW'93, ",,,,,,,,,10
11," (1994), ",,,," Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces, "," Benford, S., and Fahln, L. ",,Stockholm. ,," 6th ERCIM workshop, ",,,,,,,,,11
12," May 7-11, 1995,",,,," User Embodiment in Collaborative Virtual Environments, "," Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D., ",," Denver, Colorado, USA. ",," in Proc. ACM Conference on Human Factors in Computing Systems (CHI95), ",,,,,,,,,12
13, (1995). ,, 242-249. ,, User Embodiment in Collaborative Virtual Environments. ," Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. ",,,," In Proceedings of CHI95, ",,,,,,,,,13
