,date,volume,pages,title,journal,author,publisher,note,address,booktitle,editor,booktile,tech,institution,Pages,year,type,month
1, (1994). ," 76, ","893,", Inganas and M.R. ," Andersson, J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. ",,,,,,,,,,,,
2, (1994). ," 76, ","893, ",,"  J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R.   Andersson, ",,,,,,,,,,,,
3, (1994). ," 76, ","893, ",," J Appl. Phys.,"," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R.  Andersson, ",,,,,,,,,,,,
4, (1994). ," 76, ","893, ",," J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,
5, (1994). ," 76, ","893, ",," J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O.  Inganas and M.R. Andersson,",,,,,,,,,,,,
6, (1994). ," 76, ","893, ",," J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,
7, (1994). ," 76, ","893, ",," J Appl. Phys., "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,
8, (1994). ," 76, ","893, ",," Journal of Applied Physics, "," M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,,,,,,,,,,,
9, 1992. ,,, Robots and Manufacturing Automation. ,, C. Ray Asfahl. ," John Wiley and Sons, "," second edition, "," New York, ",,,,,,,,,
10, September ,,, A spatial model of interaction in large virtual environments. ,, Steve Benford and Lennart E. Fahlen. ,,," Milan, "," In Proceedings of ECSCW'93, ",,,,,,,,
11," (1994), ",,," Viewpoints, Actionpoints and Spatial Frames for Collaborative User Interfaces, ",," Benford, S., and Fahln, L. ",,,Stockholm. ," 6th ERCIM workshop, ",,,,,,,,
12," May 7-11, 1995,",,," User Embodiment in Collaborative Virtual Environments, ",," Benford, S., Bowers, J., Fahln, L., Greenhalgh, C., and Snowdon, D., ",,," Denver, Colorado, USA. "," in Proc. ACM Conference on Human Factors in Computing Systems (CHI95), ",,,,,,,,
13, (1995). ,, 242-249. , User Embodiment in Collaborative Virtual Environments. ,," Benford, S., Bowers, J., Fahlen, L.E., Greenhalgh, C., Snowdon, D. ",,,," In Proceedings of CHI95, ",,,,,,,,
15, 1995. , 4(4) ," 364-386, ", Networked Virtual realitty and Cooperative Work. ," Presence,"," Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden. ",,,,,,,,,,,,
16," (1992b), ",, pp. 95-109. ," Actress: an action semantics directed compiler generator, ",," Brown, D. F., Moura, H. & Watt, D. A. "," Springer-Verlag, ","Vol. 641 of Lecture Notes in Computer Science, "," Paderborn, Germany, "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', "," in U. Kas-tens & P. Pfahler, eds, ",,,,,,,
17," (1992b), ",, pp. 95-109. ," Actress: an action semantics directed compiler generator, ",," Brown, D. F., Moura, H. & Watt, D. A. "," Springer-Verlag, ","Vol. 641 of Lecture Notes in Computer Science, "," Paderborn, Germany, "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', "," in U. Kas-tens & P. Pfahler, eds, ",,,,,,,
18,October 1992. ,," pages 95-109, ", an action semantics directed compiler generator. ,," D. F. Brown, H. Moura, and D. A. Watt. Actress: ", Springer-Verlag. ,"volume 641 of Lecture Notes in Computer Science, "," Paderborn, FRG, "," Proceedings of the 4th International Conference on Compiler Construction (CC'92), "," In U. Kastens and P. Pfahler, editors, ",,,,,,,
19, 1992. ,,, Provably correct compiler development and implementation. ,," B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm. "," Springer-Verlag, ",volume 641 of Lecture Notes in Computer Science. ,," Compiler Construction, "," In U. Kastens and P. Pfahler, editors, ",,,,,,,
20," 1992, ",, pp. 141-155. ," Provably Correct Compiler Implementation, ",," B. Buth et. al., "," Springer Verlag, LNCS 641, ",,," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,
21," 1992, ",, pp. 141-155. ," Provably Correct Compiler Implementation, ",," B. Buth et. al., "," Springer Verlag, LNCS 641, ",,," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,
22," 1992, ",, pp. 141-155. ," Provably Correct Compiler Implementation, ",," B. Buth et. al., "," Springer Verlag, LNCS 641, ",,," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,
23, 1992. ,, pages 141-155. , Provably correct compiler development and implementation. ,," Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine Lakhneche, Hans Langmaack, and Markus Muller-Olm. "," Springer-Verlag, ",,," Compiler Construction, number 641 in Lecture Notes in Computer Science, "," In U. Kastens and P. Pfahler, editors, ",,,,,,,
24, 1993. ,, 513 , Integrated CSCW Tools Within a Shared 3D Virtual Environment.,," Carlson, C.; L.E.Fahln. ", Morgan Kaufmann. ,, NY:, In Computer Supported Cooperative Work: A Book of Readings. , Ed. Irene Greit:," In Proceedings of InterCHI93 (Amsterdam). ACM,",,,,,,
25, (1985). ,," pages 183-187, ", A representation for the adaptive generation of simple sequential programs. ,," Cramer, N. L. ", Lawrence Erlbaum Associates. ,," Hillsdale, NJ. "," Proceedings of an International Conference on Genetic Algorithms and Their Applications, "," In Grefenstette, J., editor, ",,,,,,,
