,id,name,price,brand,NER,NER_TEXT,NER_TEXT_ASC,NER_TEXT_REV
0,139267,SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD,52.99,SONY,"['sony', 'carte', 'line', 'usb', 'extreme', '64', 'c10', '1353969', '128', 'sd']",sony carte line usb extreme 64 c10 1353969 128 sd,128 1353969 64 c10 carte extreme line sd sony usb,sd 128 1353969 c10 64 extreme usb line carte sony
1,270354,"Toshiba SDHC EXCERIA PRO 64GB, silber",59.95,,"['toshiba', 'sdhc', 'exceria', 'pro', '64', 'gb', 'silber']",toshiba sdhc exceria pro 64 gb silber,64 exceria gb pro sdhc silber toshiba,silber gb 64 pro exceria sdhc toshiba
2,303124,"SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,",59.0,SANDISK,"['sandisk', 'sf32ux', 'usb', 'usb', 'm3.0', 'usb', 'bis', 'de', 'gb', 'micro', '48mb']",sandisk sf32ux usb usb m3.0 usb bis de gb micro 48mb,48mb bis de gb m3.0 micro sandisk sf32ux usb usb usb,48mb micro gb de bis usb m3.0 usb usb sf32ux sandisk
3,647192,"Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc",5290.0,,"['brand', 'micro', 'pro', 'microsdhc', '16', 'gb', 'flair', '16', 'gb', 'speed', 'sdhc']",brand micro pro microsdhc 16 gb flair 16 gb speed sdhc,16 16 brand flair gb gb micro microsdhc pro sdhc speed,sdhc speed gb 16 flair gb 16 microsdhc pro micro brand
4,49177,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,209.99,,"['toshiba', 'exceria', 'pro', 'n101', '64', 'gb', 'sd', 'memory', 'card', '260', 'mb', 'hd', 'thn', 'n101k0640e6']",toshiba exceria pro n101 64 gb sd memory card 260 mb hd thn n101k0640e6,260 64 card exceria gb hd mb memory n101 n101k0640e6 pro sd thn toshiba,n101k0640e6 thn hd mb 260 card memory sd gb 64 n101 pro exceria toshiba
5,737304,SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB,108.99,,"['sandisk', 'cruzer', 'glide', 'chiavetta', 'usb', '2.0', '256', 'gb']",sandisk cruzer glide chiavetta usb 2.0 256 gb,2.0 256 chiavetta cruzer gb glide sandisk usb,gb 256 2.0 usb chiavetta glide cruzer sandisk
6,729122,"SANDISK DE VAULT (64GB) 16 128GB ADAPTADOR GB,",6.99,SANDISK,"['sandisk', 'de', 'vault', '64', 'gb', '16', '128', 'gb', 'adaptador', 'gb']",sandisk de vault 64 gb 16 128 gb adaptador gb,128 16 64 adaptador de gb gb gb sandisk vault,gb adaptador gb 128 16 gb 64 vault de sandisk
7,229418,SanDisk USB Line Edge Pendrive 16 4 - GB0 Flash UHS-I Red Jetzt Rescue Tarjeta,34.9,SanDisk,"['sandisk', 'usb', 'line', 'edge', 'pendrive', '16', 'gb0', 'flash', 'uhs', 'red', 'jetzt', 'rescue', 'tarjeta']",sandisk usb line edge pendrive 16 gb0 flash uhs red jetzt rescue tarjeta,16 edge flash gb0 jetzt line pendrive red rescue sandisk tarjeta uhs usb,tarjeta rescue jetzt red uhs flash gb0 16 pendrive edge line usb sandisk
8,917546,"SANDISK USM-CA Memoria microSDHC USB-Stick – Go, GB ezüst",16.99,SANDISK,"['sandisk', 'usm', 'memoria', 'microsdhc', 'usb', 'stick', 'gb', 'ezüst']",sandisk usm memoria microsdhc usb stick gb ezüst,ezüst gb memoria microsdhc sandisk stick usb usm,ezüst gb stick usb microsdhc memoria usm sandisk
9,647215,Lexar Expert Extreme SD mémoire 48MB/S UHS-I 4,,Lexar,"['lexar', 'expert', 'extreme', 'sd', 'mémoire', '48mb', 'uhs']",lexar expert extreme sd mémoire 48mb uhs,48mb expert extreme lexar mémoire sd uhs,uhs 48mb mémoire sd extreme expert lexar
