,id,name,price,brand,description,category,NER,NER_TEXT,NER_TEXT_REV,NER_TEXT_MID
0,139267,SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD,52.99,SONY,,,"['c10', 'carte', 'extreme', 'line', 'sd', 'sony', 'usb']",c10 carte extreme line sd sony usb,usb sony sd line extreme carte c10,extreme line
1,270354,"Toshiba SDHC EXCERIA PRO 64GB, silber",59.95,,,,"['exceria', 'gb', 'pro', 'sdhc', 'silber', 'toshiba']",exceria gb pro sdhc silber toshiba,toshiba silber sdhc pro gb exceria,pro sdhc
2,303124,"SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,",59.0,SANDISK,,,"['bis', 'de', 'gb', 'm3.0', 'micro', 's', 'sandisk', 'sf32ux', 'usb']",bis de gb m3.0 micro s sandisk sf32ux usb,usb sf32ux sandisk s micro m3.0 gb de bis,m3.0 micro
3,647192,"Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc",5290.0,,,,"['brand', 'flair', 'gb', 'micro', 'microsdhc', 'pro', 'sdhc', 'speed']",brand flair gb micro microsdhc pro sdhc speed,speed sdhc pro microsdhc micro gb flair brand,micro microsdhc
4,49177,Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6,209.99,,,,"['card', 'exceria', 'gb', 'hd', 'k', 'mb', 'memory', 'n101', 'n101k0640e6', 'pro', 's', 'sd', 'thn', 'toshiba']",card exceria gb hd k mb memory n101 n101k0640e6 pro s sd thn toshiba,toshiba thn sd s pro n101k0640e6 n101 memory mb k hd gb exceria card,mb memory n101 n101k0640e6
5,737304,SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB,108.99,,,,"['chiavetta', 'cruzer', 'gb', 'glide', 'sandisk', 'usb']",chiavetta cruzer gb glide sandisk usb,usb sandisk glide gb cruzer chiavetta,gb glide
6,729122,"SANDISK DE VAULT (64GB) 16 128GB ADAPTADOR GB,",6.99,SANDISK,,,"['adaptador', 'de', 'gb', 'sandisk', 'vault']",adaptador de gb sandisk vault,vault sandisk gb de adaptador,de gb
7,229418,SanDisk USB Line Edge Pendrive 16 4 - GB0 Flash UHS-I Red Jetzt Rescue Tarjeta,34.9,SanDisk,,,"['edge', 'flash', 'gb0', 'jetzt', 'line', 'pendrive', 'red', 'rescue', 'sandisk', 'tarjeta', 'uhs', 'usb']",edge flash gb0 jetzt line pendrive red rescue sandisk tarjeta uhs usb,usb uhs tarjeta sandisk rescue red pendrive line jetzt gb0 flash edge,line pendrive red rescue
8,917546,"SANDISK USM-CA Memoria microSDHC USB-Stick – Go, GB ezüst",16.99,SANDISK,,,"['ezüst', 'gb', 'memoria', 'microsdhc', 'sandisk', 'stick', 'usb', 'usm']",ezüst gb memoria microsdhc sandisk stick usb usm,usm usb stick sandisk microsdhc memoria gb ezüst,microsdhc sandisk
9,647215,Lexar Expert Extreme SD mémoire 48MB/S UHS-I 4,,Lexar,,,"['expert', 'extreme', 'lexar', 'mémoire', 's', 'sd', 'uhs']",expert extreme lexar mémoire s sd uhs,uhs sd s mémoire lexar extreme expert,lexar mémoire
10,81970,intenso scheda ultra memory memoria w3 duo,155.99,Intenso,,,"['duo', 'intenso', 'memoria', 'memory', 'scheda', 'ultra', 'w3']",duo intenso memoria memory scheda ultra w3,w3 ultra scheda memory memoria intenso duo,memoria memory
11,335923,Carte SD Sandisk Carte EXTREME PRO SDHC 16 Go 280 Mo/s Classe 10 UHS-II U3 (MK935585202),66.06,,,,"['carte', 'classe', 'extreme', 'ii', 'mk935585202', 'mo', 'pro', 's', 'sandisk', 'sd', 'sdhc', 'u3', 'uhs']",carte classe extreme ii mk935585202 mo pro s sandisk sd sdhc u3 uhs,uhs u3 sdhc sd sandisk s pro mo mk935585202 ii extreme classe carte,mk935585202 mo pro s
