,GBs,tokens,name
0,set(),"['sony', 'carte', 'line', 'usb', 'extreme', '64', 'c10', '1353969', '128', 'sd']",SONY CARTE LINE USB EXTREME 64 + C10 (1353969) 128 - SD
1,{'64'},"['toshiba', 'sdhc', 'exceria', 'pro', '64', 'gb', 'silber']","Toshiba SDHC EXCERIA PRO 64GB, silber"
2,set(),"['sandisk', 'sf32ux', 'usb', 'usb', 'm3.0', 'usb', 'bis', 'de', 'gb', 'micro', '48', 'mb']","SANDISK SF32UX, USB USB m3.0 USB bis de GB MICRO 48MB/s,"
3,{'16'},"['brand', 'micro', 'pro', 'microsdhc', '16', 'gb', 'flair', '16', 'gb', 'speed', 'sdhc']","Brand micro Pro microSDHC 16gb FLAIR 16GB Speed, sdhc"
4,{'64'},"['toshiba', 'exceria', 'pro', 'n101', '64', 'gb', 'sd', 'memory', 'card', '260', 'mb', 'hd', 'thn']",Toshiba Exceria Pro N101 64GB SD Memory Card 260 MB/s 4K HD - THN-N101K0640E6
5,{'256'},"['sandisk', 'cruzer', 'glide', 'chiavetta', 'usb', '2.0', '256', 'gb']",SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB
6,"{'128', '64'}","['sandisk', 'de', 'vault', '64', 'gb', '16', '128', 'gb', 'adaptador', 'gb']","SANDISK DE VAULT (64GB) 16 128GB ADAPTADOR GB,"
7,set(),"['sandisk', 'usb', 'line', 'edge', 'pendrive', '16', 'gb0', 'flash', 'uhs', 'red', 'jetzt', 'rescue', 'tarjeta']",SanDisk USB Line Edge Pendrive 16 4 - GB0 Flash UHS-I Red Jetzt Rescue Tarjeta
8,set(),"['sandisk', 'usm', 'memoria', 'microsdhc', 'usb', 'stick', 'gb', 'ezust']","SANDISK USM-CA Memoria microSDHC USB-Stick – Go, GB ezüst"
9,set(),"['lexar', 'expert', 'extreme', 'sd', 'memoire', '48', 'mb', 'uhs']",Lexar Expert Extreme SD mémoire 48MB/S UHS-I 4
10,set(),"['intenso', 'scheda', 'ultra', 'memory', 'memoria', 'w3', 'duo']",intenso scheda ultra memory memoria w3 duo
11,{'16'},"['carte', 'sd', 'sandisk', 'carte', 'extreme', 'pro', 'sdhc', '16', '280', 'mo', 'classe', '10', 'uhs', 'ii', 'u3']",Carte SD Sandisk Carte EXTREME PRO SDHC 16 Go 280 Mo/s Classe 10 UHS-II U3 (MK935585202)
12,{'16'},"['sony', 'pami', 'ci', 'alu', 'glide', 'ultra', '90', '40', 'mb', '300', 'mb', 'adapt', '10', 'jetzt', 'sdc4', '16', 'gb']","SONY pami?ci ALU GLIDE Ultra 90/40MB/S 300MB/s C/ADAPT 10, Jetzt SDC4/16GB"
13,set(),"['sony', 'cruzer', 'pro', 'sd', 'usb', 'stick', 'pro', 'blister', 'sf', 'm128', 'adapter', 'micro', 'zu']","SONY CRUZER PRO SD USB-STICK PRO GEHEUGENKAART WITH BLISTER GO SF-M128/T - + IN ADAPTER, MICRO ZU"
14,{'128'},"['kingston', 'sda3', '128', 'gb', 'sdhc', 'sdxc', '128', 'gb', 'ultra', 'high', 'speed', 'class']",Kingston SDA3/128GB SDHC/SDXC 128GB Ultra High-Speed Class 3 Speicherkarte
15,{'64'},"['sandisk', 'ultra', 'dual', 'usb', '3.1', 'flash', 'drive', '64', 'gb', 'diverse']",SanDisk Ultra Dual USB-C 3.1 flash drive 64 GB - Diverse mobiltillbehör
16,{'128'},"['antracyt', '3.0', 'microsdhc', 'carte', 'sdhc', '128', 'gb', 'memoria']",ANTRACYT (3.0) MICROSDHC CARTE SDHC 128GB MEMORIA
17,{'16'},"['cle', 'usb', 'kingston', 'kingston', 'cle', 'usb', '16', 'g2', '101']",Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819)
18,set(),"['45', 'mb', 'canvas', '128', '32', '10', 'product', 'gb', 'gb', 'zu', 'sd', 'sandisk']",45MB/s Canvas Go 128 32 10 Product GB GB zu SD SanDisk to
19,"{'32', '16'}","['32', 'gb', 'sd', 'sandisk', 'xc', 'pendrive', 'memoria', 'les', 'ultra', '16', 'cle']",32gb sd sandisk xc pendrive memoria les ultra 16 go clé -
20,set(),"['sd', 'pam', 'ova', 'usb', 'sandisk', 'microsdxc', 'uhs', '128', 'connectes', 'dans', '64']",- SD PAM??OVÁ USB SANDISK MICROSDXC UHS-I 128 CONNECTÉS DANS 64
21,{'64'},"['carte', 'sd', 'pro', 'sdxc', 'fit', 'type', 'c10', 'gen1', 'uhs', '64go', 'mb', 'sek']","carte sd pro sdxc fit type-a 8 c10 gen1 uhs-i 64go - mb/sek,"
22,{'16'},"['tesco', 'direct', 'lexar', 'jumpdrive', 's70', '16', 'gb', 'usb', 'memory', 'flash', 'drive', 'burgundy', 'small', 'blister']",Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister
23,{'128'},"['sony', 'microsdxc', '128', 'gb', 'uhs', 'u3', 'class', '10', 'sd', 'adapter']",Sony microSDXC 128 GB UHS-I U3 Class 10 + SD Adapter
24,{'16'},"['lexar', 'jumpdrive', 'v30', 'unidad', 'flash', 'usb', '16', 'gb', 'en', 'fnac.es']",Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es
25,set(),"['shop', 'samsung', '43', 'inch', 'smart', 'uhd', 'tv', 'black', 'online', 'egypt']",Shop Samsung 43-Inch Smart UHD TV UA43NU7100 Black online in Egypt
26,set(),"['sandisk', 'high', 'sdhc', 'pro', '32', '95', 'mb', 'class', 'line', 'flash', 'gen']",sandisk high-performance sdhc pro 32 (95 mb/s class line flash gen
