"name","price","brand","category","description","name_2","price_2","brand_2","category_2","description_2"
"SANDISK - Cruzer Extreme USB 3.0 16GB&nbsp;","29.9","nan","nan","nan","Clé USB Sandisk Cruzer Extreme CZ80 16 Go USB 3.0 - CZ80 16G EXTR USB3 N (1396994)","40.48","nan","nan","nan"
"LEXAR CLE USB JUMPDRIVE S70 16GB GRISE","10.9","nan","nan","nan","Lexar JumpDrive S70 Clé USB 2.0 16 Go Gris LJDS70-16GABEU","nan","nan","nan","nan"
"Carte - Memoria DataTraveler 32 Class - microSDHC - up File U3, ?erná","17.29","nan","nan","nan","CARTE - MEMORIA DATATRAVELER 32 CLASS - MICROSDHC - UP FILE U3, ?ERNÁ","11.99","nan","nan","nan"
"Lexar LJDC20m-128BBEUK JumpDrive C20m micro-USB-Flash-Laufwerk 128GB","53.61","nan","nan","nan","Lexar JumpDrive C20m Unità Flash MicroUSB, 128 GB","58.05","nan","nan","nan"
"Sandisk Cruzer Glide 256GB USB 2.0 Tipo A Negro, Rojo unidad flash USB - Memoria USB (256 GB, USB 2.0, Tipo A, Deslizar, Negro, Rojo, 0 - 45 °C)","nan","nan","nan","nan","SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive,SanDisk,SDCZ60-256G-B35","81.99","nan","nan","nan"
"SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive","82.99","nan","nan","nan","SanDisk Cruzer Glide Chiavetta USB 2.0 256 GB","108.99","nan","nan","nan"
"Tesco direct: Lexar JumpDrive C20m 32GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Black Silver","nan","nan","nan","nan","Mémoire 32GB JumpDrive C20m LEXAR Achat dans le rayon Clés USB USB 3.1","22.58","nan","nan","nan"
"Kingston DataTraveler DT101G2 32 GB USB-Stick USB 2.0 lila [Amazon Frustfreie Verpackung],Kingston,DT101G2/32GB","23.25","nan","nan","nan","Kingston DT101G2 Datatraveler Memoria USB portatile 32768 MB","nan","nan","nan","nan"
"INTENSO 3503470 Basic Line 16 GB, USB-Stick, USB 2.0, 16 GB","7.99","nan","nan","nan","Pendrive 16gb Usb2.0 Intenso Basic Line Negro","6.1","intenso","nan","nan"
"Intenso premium line 64gb usb 3.0 (3534490)\n","41.15","Intenso","nan","Intenso premium line 64gb usb 3.0 (3534490). Clé USB. Remise 5% pour les adhérents. Achetez vos produits high-tech (ordinateur, ipad, accessoires informatique) en ligne et retirez-les en magasin.","Intenso premium line 64gb usb 3.0 (3534490)\n","41.15","Intenso","nan","Intenso premium line 64gb usb 3.0 (3534490). Clé USB. Remise 5% pour les adhérents. Achetez vos produits high-tech (ordinateur, ipad, accessoires informatique) en ligne et retirez-les en magasin."
"SANDISK - SDHC 8GB&nbsp;","7.99","nan","nan","nan","Sandisk SDHC 8 Gb | SD (secure digital) | Memorie | Foto De Angelis","7.3","nan","nan","nan"
"CARTE SDXC SANDISK EXT+ 128GO UHS 1 CLASSE 10","80.4","nan","nan","nan","SanDisk SDSDXS-128G-X46 Extreme Plus 128 GB 80 MB/s UHS-I Class 10 SDHC Memory Card","135.88","nan","nan","nan"
"Tesco direct: TOS-U202-128GB-WHI 128GB TransMemory USB 2.0 Flash Drive","34.99","nan","nan","nan","TOSHIBA TransMemory U202, 128 GB, weiss","41.95","nan","nan","nan"
"Tesco direct: Lexar JumpDrive S25 64 GB USB 3.0 Flash Drive - Purple, White","27.27","nan","nan","nan","Lexar JumpDrive S25 64GB USB 3.0 Flash Drive LJDS25-64GABEU (Viola)","21.37","nan","nan","nan"
"Tesco direct: Kingston 16GB Data Traveler USB Card","17.0","nan","nan","nan","Clé USB Kingston Cl&amp;eacute; USB 16GB Kingston DT101 G2 - Sous Blister (MK483703403)","13.95","nan","nan","nan"
"Kingston SDXC Class 10 UHS-I 256GB 256GB SDXC Flash Class 10","111.0","nan","nan","nan","Kingston Scheda SD Professionale SDA10/256GB UHS-I SDHC/SDXC di Classe 10 - 256GB","130.99","nan","nan","nan"
"SANDISK N°282 GB, MEDIA - SDHC 64 16 CLASS X-SERIES TRAVELER","8.99","SanDisk","nan","nan","SanDisk n°282 Traveler Class - SDHC 64 16 Media X-series GB,","11.14","SanDisk","nan","nan"
"SONY - SF8U (SDHC 8GB CLASSE 6)&nbsp;","9.99","nan","nan","nan","SONY SF8U, SD Full Size SD Speicherkarte, 8 GB, 90 MB/s","8.99","nan","nan","nan"
"Intenso Basic Line 3503470 16GB USB 2.0 Flash Drive","8.03","nan","nan","nan","INTENSO 3503470 Basic Line 16 GB, USB-Stick, USB 2.0, 16 GB","7.99","nan","nan","nan"
