,id,title,tokens,p2,p2_text,DIG_SUM,tokens_text,tokens_text_asc,tokens_text_desc
0,270345,BEST ASPIRE CUBE INTEL 6885 INTEL FRAME QUAD I5 1TB AND - SWITCHING 500GB 2.90,"['best', 'aspire', 'cube', 'intel', '6885', 'intel', 'frame', 'quad', 'switching', '2.90']",{'i5'},i5,6885,best aspire cube intel 6885 intel frame quad switching 2.90,2.90 6885 aspire best cube frame intel intel quad switching,switching quad intel intel frame cube best aspire 6885 2.90
1,163850,"Panasonic Latitude 14 B5232 - Solid Duo (BX80621E52640) 160GB : Intel DVDRW | Laptop,14 Laptop,Kids / Anodized Netbook - 7 8)","['panasonic', 'latitude', 'b5232', 'solid', 'bx80621e52640', 'intel', 'dvdrw', 'laptop,14', 'laptop', 'kids', 'anodized', 'netbook']","{'b5232', 'e52640', 'bx80621'}",b5232 bx80621 e52640,0,"panasonic latitude b5232 solid bx80621e52640 intel dvdrw laptop,14 laptop kids anodized netbook","anodized b5232 bx80621e52640 dvdrw intel kids laptop laptop,14 latitude netbook panasonic solid","solid panasonic netbook latitude laptop,14 laptop kids intel dvdrw bx80621e52640 b5232 anodized"
2,180242,Panasonic 667374-B21 Toshiba 2325 Pc AMD LED 2 i5 500gb - 4 500GB - 7 64-bit Wireless Cream eBay Direct Product,"['panasonic', '667374', 'toshiba', '2325', 'wireless', 'cream', 'ebay', 'direct', 'product']","{'i5', 'b21'}",b21 i5,669699,panasonic 667374 toshiba 2325 wireless cream ebay direct product,2325 667374 cream direct ebay panasonic product toshiba wireless,wireless toshiba product panasonic ebay direct cream 667374 2325
3,712728,64-bit t540p / n7110 wifi | us 8gb hd laptop notebook 4600u miniprice.ca w 5 win d2500 | ram 4 inspiron,"['t540p', 'n7110', 'wifi', 'laptop', 'notebook', '4600u', 'miniprice.ca', 'd2500', 'inspiron']","{'n7110', 't540', 'd2500'}",d2500 n7110 t540,0,t540p n7110 wifi laptop notebook 4600u miniprice.ca d2500 inspiron,4600u d2500 inspiron laptop miniprice.ca n7110 notebook t540p wifi,wifi t540p notebook n7110 miniprice.ca laptop inspiron d2500 4600u
4,729116,dell google 1737 7000 chromebook i5 (67y2625) core android 128gb | computers 1tb ram ebay 4 8 lenovo ebay,"['dell', 'google', '1737', '7000', 'chromebook', '67y2625', 'core', 'android', 'computers', 'ebay', 'lenovo', 'ebay']","{'i5', 'y2625'}",i5 y2625,8737,dell google 1737 7000 chromebook 67y2625 core android computers ebay lenovo ebay,1737 67y2625 7000 android chromebook computers core dell ebay ebay google lenovo,lenovo google ebay ebay dell core computers chromebook android 7000 67y2625 1737
5,1212452,"LENOVO PRECISION CORE 3721 INTEL XGA MINI 3 - CAMERA RAM 6GB CORE SSD TRAY HDD, I3 COMPUTER,13.3 EBAY HIGH","['lenovo', 'precision', 'core', '3721', 'intel', 'mini', 'camera', 'core', 'tray', 'computer,13.3', 'ebay', 'high']",{'i3'},i3,3721,"lenovo precision core 3721 intel mini camera core tray computer,13.3 ebay high","3721 camera computer,13.3 core core ebay high intel lenovo mini precision tray","tray precision mini lenovo intel high ebay core core computer,13.3 camera 3721"
6,1179685,"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 8 Pro 64-bit / Windows 7 Pro 64-bit downgrade - 4 GB RAM - 500 GB HDD - Vology","['lenovo', 'thinkpad', 'x230', '2324', '12.5', 'core', '3320', 'windows', 'windows', 'downgrade', 'vology']","{'i5', 'x230'}",i5 x230,5644,lenovo thinkpad x230 2324 12.5 core 3320 windows windows downgrade vology,12.5 2324 3320 core downgrade lenovo thinkpad vology windows windows x230,x230 windows windows vology thinkpad lenovo downgrade core 3320 2324 12.5
7,458792,"Panasonic Toughbook X2 13 E5430, 2 - Foundation 8GB Intel i5 KB 8 Laptop | | Phone eBay","['panasonic', 'toughbook', 'e5430', 'foundation', 'intel', 'laptop', 'phone', 'ebay']","{'i5', 'x2', 'e5430'}",e5430 i5 x2,0,panasonic toughbook e5430 foundation intel laptop phone ebay,e5430 ebay foundation intel laptop panasonic phone toughbook,toughbook phone panasonic laptop intel foundation ebay e5430
8,1187888,Amazon.com : Acer Aspire V7-482PG-5842 14-Inch Touchscreen Ultrabook (Cool Steel) : Computers & Accessories,"['amazon.com', 'acer', 'aspire', '482pg-5842', 'inch', 'touchscreen', 'ultrabook', 'cool', 'steel', 'computers', 'accessories']",{'v7'},v7,0,amazon.com acer aspire 482pg-5842 inch touchscreen ultrabook cool steel computers accessories,482pg-5842 accessories acer amazon.com aspire computers cool inch steel touchscreen ultrabook,ultrabook touchscreen steel inch cool computers aspire amazon.com acer accessories 482pg-5842
9,524337,AMAZON.COM THINKPAD X230 LAPTOP 4900MQ 2.2 I3 CORE 4GB 320GB BLACK | 128GB - 64-BIT 6GB,"['amazon.com', 'thinkpad', 'x230', 'laptop', '4900mq', 'core', 'black']","{'i3', 'x230'}",i3 x230,0,amazon.com thinkpad x230 laptop 4900mq core black,4900mq amazon.com black core laptop thinkpad x230,x230 thinkpad laptop core black amazon.com 4900mq
10,966706,WIN | IN CORE MULTIFUNCTION GHZ ON 2014 RAM (INTEL CF-53SSLKK1M - ANDROID PRO WINTOUCH OFFICE DDR3 - ION,"['core', 'multifunction', '2014', 'intel', 'cf-53sslkk1', 'android', 'wintouch', 'office', 'ddr3']","{'ddr3', 'sslkk1'}",ddr3 sslkk1,2014,core multifunction 2014 intel cf-53sslkk1 android wintouch office ddr3,2014 android cf-53sslkk1 core ddr3 intel multifunction office wintouch,wintouch office multifunction intel ddr3 core cf-53sslkk1 android 2014
11,1212467,"HP Laptop Air ThinkPad Hard 512 Laptop : Free 4300U : Hdd,Dvd-rw,Wifi,Webcam,Bluetooth,1080p eBay Intel RAM CHRGR 80GB eBay on Laptops Alibaba.com Notebooks Price PANASONIC RAM - 6.5a Computer","['laptop', 'thinkpad', 'hard', 'laptop', 'free', '4300u', 'wifi', 'webcam', 'bluetooth,1080p', 'ebay', 'intel', 'chrgr', 'ebay', 'laptops', 'alibaba.com', 'notebooks', 'price', 'panasonic', '6.5a', 'computer']",set(),,0,"laptop thinkpad hard laptop free 4300u wifi webcam bluetooth,1080p ebay intel chrgr ebay laptops alibaba.com notebooks price panasonic 6.5a computer","4300u 6.5a alibaba.com bluetooth,1080p chrgr computer ebay ebay free hard intel laptop laptop laptops notebooks panasonic price thinkpad webcam wifi","wifi webcam thinkpad price panasonic notebooks laptops laptop laptop intel hard free ebay ebay computer chrgr bluetooth,1080p alibaba.com 6.5a 4300u"
