token,cnt,len
sony,274,4
carte,239,5
line,107,4
usb,1124,3
extreme,258,7
64,442,2
c10,22,3
1353969,2,7
128,425,3
sd,389,2
toshiba,187,7
sdhc,400,4
exceria,121,7
pro,257,3
gb,1908,2
silber,18,6
sandisk,647,7
sf32ux,1,6
m3.0,10,4
bis,33,3
de,240,2
micro,233,5
48,16,2
mb,501,2
brand,2,5
microsdhc,185,9
16,420,2
flair,17,5
speed,42,5
n101,13,4
memory,187,6
card,208,4
260,26,3
hd,25,2
thn,53,3
cruzer,100,6
glide,50,5
chiavetta,12,9
2.0,196,3
256,85,3
vault,18,5
adaptador,49,9
edge,17,4
pendrive,85,8
gb0,2,3
flash,358,5
uhs,548,3
red,13,3
jetzt,6,5
rescue,6,6
tarjeta,141,7
usm,9,3
memoria,295,7
stick,112,5
ezust,2,5
lexar,270,5
expert,12,6
memoire,113,7
intenso,124,7
scheda,48,6
ultra,322,5
w3,2,2
duo,10,3
280,5,3
mo,41,2
classe,103,6
10,433,2
ii,103,2
u3,203,2
pami,108,4
ci,91,2
alu,20,3
90,83,2
40,9,2
300,46,3
adapt,6,5
sdc4,8,4
blister,23,7
sf,20,2
m128,2,4
adapter,124,7
zu,48,2
kingston,233,8
sda3,8,4
sdxc,277,4
high,26,4
class,316,5
dual,82,4
3.1,111,3
drive,153,5
diverse,1,7
antracyt,4,8
3.0,326,3
cle,199,3
g2,29,2
101,18,3
45,18,2
canvas,33,6
32,537,2
product,3,7
xc,10,2
les,3,3
pam,16,3
ova,16,3
microsdxc,143,9
connectes,8,9
dans,51,4
fit,16,3
type,95,4
gen1,4,4
64go,33,4
sek,27,3
tesco,71,5
direct,63,6
jumpdrive,140,9
s70,15,3
burgundy,3,8
small,3,5
v30,59,3
unidad,20,6
en,45,2
fnac.es,68,7
shop,19,4
samsung,78,7
43,1,2
inch,2,4
smart,1,5
uhd,1,3
tv,2,2
black,56,5
online,23,6
egypt,27,5
95,92,2
gen,44,3
633x,53,4
traveler,14,8
pour,13,4
zilver,4,6
sony32,2,6
dt101,6,5
le,47,2
a1,27,2
color,24,5
bianco,10,6
premium,58,7
p20,26,3
4187407,4,7
file,4,4
amazon,7,6
con,48,3
memorie,14,7
externe,6,7
microsd,66,7
sdcz48,8,6
128g,6,4
gtv46,2,5
ab,28,2
inc,9,3
ljdv30,2,6
64gabeu,6,7
3502450,3,7
rainbow,22,7
blue,13,4
read,28,4
dtig4,10,5
100,54,3
recording,2,9
basic,21,5
schwarz,36,7
karta,85,5
adpater,2,7
3c,2,2
class10,18,7
green,8,5
otg,23,3
16go,27,4
usm16ca1,7,8
et,6,2
4190041,2,7
montres,7,7
bracelets,8,9
